WikiData,Name,Kind,City,Rate,Lon,Lat,image_path
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_0.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_1.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_2.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_3.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_4.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_5.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_6.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_7.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_8.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_9.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_10.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_11.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_12.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_13.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_14.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_15.jpg
Q106150540,"Здание бывшей гостиницы ""Мадрид""","architecture,historic_architecture,accomodations,interesting_places,other_hotels,other_buildings_and_structures",Екатеринбург,3h,60.588634,56.886154,c:\Users\alex\Desktop\NTO\data_by_name\Здание бывшей гостиницы _Мадрид_\image_16.jpg
